message,label
Your HDFC a/c 1479 credited ₹37874.00 (UPI Ref 582505) from VPA zomato@upi. Bal: ₹3222,1
IRCTC: WL6 for 12956 SBC-MAS Exp has been CONFIRMED. Charting at 12:25 hrs,0
Money sent: ₹15429.00 to VPA rajesh@okicici UPI Ref 220451. Current balance: ₹93156 -HDFC,1
Emma: Just adopted a hamster. Want to see pictures?,0
Olivia: Congratulations on your graduation!,0
Your ICICI a/c 2733 credited ₹30024.00 (UPI Ref 763028) from VPA electricity@upi. Bal: ₹41517,1
Alert: Acct XXX2336 debited Rs.44778.00 on 17-Sep-25 to Swiggy. Call 1800039698 if unrecognized -IndusInd,1
Alert: Acct XXX6616 debited Rs.14932.00 on 16-Apr-25 to Electricity.UPI. Call 1800071158 if unrecognized -HDFC,1
Your a/c XXXXX3110 credited INR 39588.00 by UPI REF NO 865974 on 18-Dec-25. Bal: INR 52930 -IDFC FIRST,1
Your a/c XXXXX1270 credited INR 21989.00 by UPI REF NO 702667 on 8-Aug-25. Bal: INR 49272 -ICICI,1
William: Remember that inside joke about group project disaster? Still cracks me up!,0
Diya: Missing our college days. Let's plan a reunion.,0
Your a/c XXXXX5760 credited INR 44317.00 by UPI REF NO 615327 on 17-Jun-25. Bal: INR 25988 -Axis,1
UPI payment of ₹7008.00 to Zomato (UPI Ref 296726) successful. Avl Bal: ₹61834 -IndusInd,1
Olivia: Missing our college days. Let's plan a reunion.,0
IRCTC: WL19 for 12792 NZM-CBE Exp has been CONFIRMED. Charting at 14:20 hrs,0
"Dear Customer, A/C XX1187 debited by INR 18836.00 on 6-Apr-25. Trf to VPA rajesh@okicici. Ref No 321581. Not you? Call 1800809964 -PNB",1
UPI: INR 9888.00 paid to Isabella (UPI Ref 229629). Not you? Block txn: https://short.url/71700 -PNB,1
Your SBI a/c 7531 debited ₹1223.00 on 26-Aug-25. UPI txn to VPA zomato@upi. Dispute: 1800860738,1
Received Rs.35519.00 from VPA mobile@upi UPI Ref 878028. Current balance: Rs.75367 -IDFC FIRST,1
UPI: INR 12784.00 paid to Riya (UPI Ref 430025). Not you? Block txn: https://short.url/73293 -PNB,1
UPI: INR 40523.00 paid to Ethan (UPI Ref 326838). Not you? Block txn: https://short.url/88737 -Kotak,1
Vihaan: Just adopted a parrot. Want to see pictures?,0
Alert: Acct XXX8076 debited Rs.3945.00 on 25-Oct-25 to Zomato. Call 1800373168 if unrecognized -SBI,1
Aditya: Movie night this Friday? Interstellar looks awesome!,0
Your Yes Bank a/c 9238 debited ₹8539.00 on 14-Apr-25. UPI txn to VPA mobile@upi. Dispute: 1800965859,1
Noah added you on Snapchat! View profile: https://short.url/35025,0
William: Can you help me with that project we discussed?,0
Liam: Just finished my workout. Feeling great!,0
Your PNB a/c 6851 debited ₹41353.00 on 1-Nov-25. UPI txn to VPA rajesh@okicici. Dispute: 1800786926,1
Vivaan: Planning a surprise for Reyansh's birthday.,0
Received Rs.28718.00 from VPA salary@hdfc UPI Ref 366285. Current balance: Rs.21108 -SBI,1
Myntra End of Season Sale: Get 58% off on smartphones. Shop now: https://short.url/35024,0
Emma: Movie night this Friday? Avengers looks awesome!,0
Saanvi: Feeling stressed about team conflict. Need advice.,0
Your Axis a/c 5807 debited ₹36200.00 on 25-Oct-25. UPI txn to VPA rajesh@okicici. Dispute: 1800262002,1
Your SBI a/c 1692 credited ₹18117.00 (UPI Ref 530322) from VPA mobile@upi. Bal: ₹89091,1
Alert: Acct XXX9526 debited Rs.45896.00 on 22-Apr-25 to Zomato. Call 1800009066 if unrecognized -ICICI,1
Diya: Remember that inside joke about group project disaster? Still cracks me up!,0
Loan approved! Get ₹500000 personal loan at 12.5% interest. Call 757.547.3183x795 -PNB Loans,0
Your OTP for Netflix login is 291337. Valid for 10 mins. Do not share with anyone.,0
UPI payment of ₹37200.00 to AmazonPay.UPI (UPI Ref 393580) successful. Avl Bal: ₹67679 -Kotak,1
Job Alert: Google hiring freshers! CTC 12LPA. Apply by 26-Oct-25: https://short.url/43243,0
Your Axis a/c 1376 debited ₹37003.00 on 1-Nov-25. UPI txn to VPA salary@hdfc. Dispute: 1800748827,1
Google Alert: New login detected from Chennai on Edge Windows. Approve? Reply Y/N,0
Ishaan: Can you help me with that project we discussed?,0
Received Rs.16108.00 from VPA mobile@upi UPI Ref 598710. Current balance: Rs.23088 -ICICI,1
UPI AutoPay: ₹49682.00 deducted for Netflix SUBSCRPTN Ref 986458. Next due 21-Apr-25 -HDFC,1
"Dear Customer, A/C XX3312 debited by INR 11814.00 on 20-Sep-25. Trf to VPA electricity@upi. Ref No 119543. Not you? Call 1800979862 -Kotak",1
Isabella: Just adopted a parrot. Want to see pictures?,0
Your HDFC a/c 4934 credited ₹19121.00 (UPI Ref 694924) from VPA electricity@upi. Bal: ₹20359,1
"Krishna: Hey, what's up? Wanna grab coffee later?",0
UPI AutoPay: ₹41274.00 deducted for Hotstar SUBSCRPTN Ref 419792. Next due 12-Apr-25 -ICICI,1
"Dear Customer, A/C XX4963 debited by INR 18910.00 on 22-Apr-25. Trf to VPA electricity@upi. Ref No 348876. Not you? Call 1800384704 -IndusInd",1
UPI payment of ₹48321.00 to AmazonPay.UPI (UPI Ref 438882) successful. Avl Bal: ₹19544 -IDFC FIRST,1
Your IDFC FIRST a/c 1623 debited ₹12109.00 on 20-Nov-25. UPI txn to VPA electricity@upi. Dispute: 1800954272,1
Job Alert: Wipro hiring freshers! CTC 7LPA. Apply by 14-Nov-25: https://short.url/69472,0
Received Rs.30499.00 from VPA salary@hdfc UPI Ref 727441. Current balance: Rs.54629 -Kotak,1
Ira added you on Instagram! View profile: https://short.url/45793,0
Mira: Did you hear about the new Urban Grill that opened?,0
Krishna: Congratulations on your research publication!,0
Received Rs.16898.00 from VPA zomato@upi UPI Ref 672449. Current balance: Rs.14271 -PNB,1
Your OTP for YouTube Premium login is 693515. Valid for 10 mins. Do not share with anyone.,0
Mia added you on LinkedIn! View profile: https://short.url/27565,0
Diya: Congratulations on your promotion!,0
Money sent: ₹32205.00 to VPA rajesh@okicici UPI Ref 916155. Current balance: ₹35242 -HDFC,1
Loan approved! Get ₹50000 personal loan at 8.75% interest. Call +1-467-481-7128x5131 -ICICI Loans,0
UPI AutoPay: ₹32431.00 deducted for YouTube Premium SUBSCRPTN Ref 455544. Next due 17-Apr-25 -HDFC,1
Money sent: ₹12529.00 to VPA zomato@upi UPI Ref 692111. Current balance: ₹44837 -Axis,1
UPI: INR 13261.00 paid to Ethan (UPI Ref 479186). Not you? Block txn: https://short.url/44401 -ICICI,1
Alert: Acct XXX7641 debited Rs.43094.00 on 9-Oct-25 to Netflix. Call 1800815903 if unrecognized -IndusInd,1
Dhruv: I'm thinking of traveling to Switzerland next month.,0
Diya: Check out this hilarious meme I found!,0
UPI: INR 26456.00 paid to Ira (UPI Ref 700275). Not you? Block txn: https://short.url/15591 -SBI,1
Your IDFC FIRST a/c 1462 credited ₹28858.00 (UPI Ref 312222) from VPA electricity@upi. Bal: ₹68992,1
IRCTC: WL14 for 12564 DLI-PNBE Exp has been CONFIRMED. Charting at 18:34 hrs,0
Neha: I'm thinking of traveling to Thailand next month.,0
Alert: Acct XXX7685 debited Rs.48752.00 on 22-Apr-25 to Swiggy. Call 1800200392 if unrecognized -ICICI,1
Alert: Acct XXX5265 debited Rs.15012.00 on 27-May-25 to AmazonPay.UPI. Call 1800256834 if unrecognized -Axis,1
Received Rs.8958.00 from VPA salary@hdfc UPI Ref 914034. Current balance: Rs.21230 -Yes Bank,1
Aarav: Movie night this Friday? Joker looks awesome!,0
Money sent: ₹13492.00 to VPA electricity@upi UPI Ref 999637. Current balance: ₹37925 -IDFC FIRST,1
UPI payment of ₹28570.00 to Zomato (UPI Ref 850023) successful. Avl Bal: ₹64328 -IDFC FIRST,1
UPI: INR 1535.00 paid to Reyansh (UPI Ref 525660). Not you? Block txn: https://short.url/82301 -IDFC FIRST,1
Google Alert: New login detected from Bangalore on Safari Mac. Approve? Reply Y/N,0
UPI AutoPay: ₹22046.00 deducted for Amazon Prime SUBSCRPTN Ref 204367. Next due 20-Apr-25 -Kotak,1
Diya: Feeling stressed about project deadline. Need advice.,0
Your a/c XXXXX4625 credited INR 45049.00 by UPI REF NO 749014 on 26-Aug-25. Bal: INR 74178 -ICICI,1
Ethan: Movie night this Friday? Avengers looks awesome!,0
Pooja: Planning a surprise for Krishna's birthday.,0
UPI: INR 43156.00 paid to Aditya (UPI Ref 646829). Not you? Block txn: https://short.url/68052 -Axis,1
Reyansh: Remember that inside joke about group project disaster? Still cracks me up!,0
Ishaan: Feeling stressed about project deadline. Need advice.,0
"Dear Customer, A/C XX1256 debited by INR 27213.00 on 10-May-25. Trf to VPA mobile@upi. Ref No 824466. Not you? Call 1800776584 -Kotak",1
"Dear Customer, A/C XX3354 debited by INR 14131.00 on 20-Feb-25. Trf to VPA mobile@upi. Ref No 848078. Not you? Call 1800824779 -ICICI",1
Money sent: ₹45791.00 to VPA zomato@upi UPI Ref 113383. Current balance: ₹20969 -SBI,1
Received Rs.46237.00 from VPA mobile@upi UPI Ref 131880. Current balance: Rs.14036 -IDFC FIRST,1
Olivia: Can you help me with that project we discussed?,0
"Dear Customer, A/C XX2960 debited by INR 14281.00 on 2-Sep-25. Trf to VPA zomato@upi. Ref No 369959. Not you? Call 1800834099 -Kotak",1
"Dear Customer, A/C XX7562 debited by INR 44132.00 on 17-Aug-25. Trf to VPA zomato@upi. Ref No 724239. Not you? Call 1800848557 -Kotak",1
UPI: INR 21296.00 paid to Noah (UPI Ref 434043). Not you? Block txn: https://short.url/31372 -Kotak,1
Aditya: Just finished my workout. Feeling great!,0
Liam: Feeling stressed about project deadline. Need advice.,0
Money sent: ₹28892.00 to VPA mobile@upi UPI Ref 162424. Current balance: ₹68608 -SBI,1
"Liam: Hey, what's up? Wanna grab coffee later?",0
UPI AutoPay: ₹31549.00 deducted for YouTube Premium SUBSCRPTN Ref 339255. Next due 24-Apr-25 -HDFC,1
"Dear Customer, A/C XX7877 debited by INR 42900.00 on 9-Aug-25. Trf to VPA rajesh@okicici. Ref No 800372. Not you? Call 1800827019 -Kotak",1
UPI: INR 48778.00 paid to Mason (UPI Ref 873706). Not you? Block txn: https://short.url/73570 -HDFC,1
"Ananya: Hey, what's up? Wanna grab coffee later?",0
"Sophia: Hey, what's up? Wanna grab coffee later?",0
Olivia: Happy birthday! Let's catch up this weekend.,0
Received Rs.49579.00 from VPA salary@hdfc UPI Ref 309225. Current balance: Rs.21779 -ICICI,1
"William: Hey, what's up? Wanna grab coffee later?",0
Your Kotak a/c 3882 debited ₹29578.00 on 14-May-25. UPI txn to VPA rajesh@okicici. Dispute: 1800473853,1
Received Rs.31646.00 from VPA zomato@upi UPI Ref 932161. Current balance: Rs.89616 -PNB,1
"Ishaan: Hey, what's up? Wanna grab coffee later?",0
UPI: INR 31702.00 paid to William (UPI Ref 586864). Not you? Block txn: https://short.url/82297 -Kotak,1
Your ICICI a/c 6518 debited ₹16440.00 on 24-Nov-25. UPI txn to VPA electricity@upi. Dispute: 1800736281,1
Your a/c XXXXX6977 credited INR 31661.00 by UPI REF NO 247986 on 2-Mar-25. Bal: INR 6503 -IDFC FIRST,1
Ira: Did you hear about the new Green Leaf Cafe that opened?,0
Your ICICI a/c 7569 debited ₹42754.00 on 21-Dec-25. UPI txn to VPA mobile@upi. Dispute: 1800526345,1
Noah: Movie night this Friday? Inception looks awesome!,0
Your Kotak a/c 6497 credited ₹21566.00 (UPI Ref 817370) from VPA rajesh@okicici. Bal: ₹78667,1
Mia: Movie night this Friday? Parasite looks awesome!,0
Amazon Great Indian Sale: Get 18% off on electronics. Shop now: https://short.url/88082,0
Krishna: Just adopted a hamster. Want to see pictures?,0
Your Yes Bank a/c 4052 credited ₹37038.00 (UPI Ref 876472) from VPA electricity@upi. Bal: ₹75519,1
Aditya: Congratulations on your art exhibition!,0
